"site_ID","years"
"CA-Ca1",1996
"CA-Ca1",1997
"CA-Cbo",1994
"CA-Cbo",1995
"CA-Cbo",2004
"CA-Gro",2003
"CA-Gro",2014
"CA-LP1",2017
"CA-LP1",2018
"CA-LP1",2019
"CA-LP1",2007
"CA-Qfo",2003
"CA-TP3",2002
"CA-TP3",2006
"CA-TP3",2003
"CL-SDF",2016
"CL-SDF",2014
"US-ALQ",2017
"US-ALQ",2018
"US-ALQ",2015
"US-BZB",2013
"US-BZB",2022
"US-BZF",2013
"US-BZF",2022
"US-BZS",2013
"US-BZS",2014
"US-BZS",2010
"US-EML",2020
"US-EML",2008
"US-Ho1",2011
"US-Ho1",2012
"US-Ho2",2014
"US-Ho2",2015
"US-Ho2",2018
"US-ICh",2007
"US-ICh",2022
"US-ICh",2023
"US-ICs",2010
"US-ICs",2013
"US-ICs",2007
"US-ICs",2023
"US-ICt",2015
"US-ICt",2022
"US-ICt",2007
"US-ICt",2023
"US-KFS",2007
"US-KFS",2012
"US-KS2",1999
"US-KS2",2000
"US-KS2",2001
"US-KS2",2002
"US-Me2",2021
"US-Me2",2022
"US-MOz",2004
"US-NC4",2020
"US-Rls",2014
"US-Rls",2023
"US-Rms",2014
"US-Rwf",2014
"US-Rws",2014
"US-Syv",2001
"US-Syv",2007
"US-Syv",2008
"US-Syv",2009
"US-Syv",2010
"US-Syv",2011
"US-UMd",2007
"US-Var",2000
"US-Var",2021
"BR-Sa1",2006
"BR-Sa1",2007
"BR-Sa1",2008
"CA-Ca3",2001
"CA-Man",1994
"CA-Mer",1998
"CA-Oas",1996
"CA-Obs",1999
"CA-Ojp",1999
"CA-TP4",2015
"CL-SDP",2020
"US-Ced",2005
"US-CMW",2001
"US-CMW",2002
"US-Elm",2008
"US-Elm",2013
"US-Elm",2014
"US-Esm",2013
"US-Esm",2014
"US-Esm",2015
"US-Esm",2016
"US-LL1",2018
"US-LL1",2019
"US-LL3",2009
"US-Los",2000
"US-Los",2009
"US-Los",2010
"US-Los",2011
"US-Los",2012
"US-Los",2013
"US-NC2",2011
"US-NC2",2012
"US-NC2",2014
"US-NC2",2015
"US-NC2",2018
"US-NC2",2020
"US-NC2",2019
"US-PFa",1995
"US-PFa",1996
"US-PFa",2005
"US-PFa",2022
"US-Slt",2007
"US-Snd",2007
"US-SP3",1999
"US-SP3",2000
"US-WCr",1998
"US-WCr",1999
"US-WCr",2006
"US-WCr",2007
"US-WCr",2008
"US-WCr",2009
"US-WCr",2010
"BE-Bra",1996
"BE-Bra",1997
"BE-Bra",1998
"BE-Bra",2003
"BE-Bra",2008
"BE-Dor",2022
"BE-Maa",2018
"BE-Vie",1996
"CZ-BK1",2020
"CZ-BK1",2019
"CZ-BK1",2022
"CZ-Lnz",2022
"DE-Tha",1996
"DK-Sor",2021
"DK-Sor",1996
"FI-Hyy",1996
"FI-Hyy",2020
"FR-Bil",2014
"FR-FBn",2022
"FR-Hes",2022
"IT-Cp2",2018
"IT-Cp2",2017
"IT-MBo",2022
"IT-MBo",2014
"IT-Ren",2000
"IT-Ren",2021
"IT-Ren",2023
"IT-Ren",1999
"SE-Deg",2018
"SE-Nor",2023
"SE-Svb",2017
"SE-Svb",2014
"CH-Aws",2012
"CH-Aws",2006
"CH-Cha",2005
"CH-Cha",2012
"CH-Cha",2009
"CH-Fru",2005
"CH-Fru",2020
"DE-Akm",2019
"DE-Akm",2009
"DE-Gri",2004
"DE-RuW",2017
"ES-Agu",2014
"ES-LJu",2004
"FI-Let",2009
"GF-Guy",2020
"IL-Yat",2000
"IT-Tor",2008
"RU-Fyo",1998
